I, [2018-03-01T09:03:46.782317 #11255]  INFO -- Kitchen: -----> Starting Kitchen (v1.13.2)
E, [2018-03-01T09:03:46.782613 #11255] ERROR -- Kitchen: ------Exception-------
E, [2018-03-01T09:03:46.782643 #11255] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-03-01T09:03:46.782659 #11255] ERROR -- Kitchen: Message: Kitchen YAML file /opt/Chef/cookbooks/apache/templates/.kitchen.yml does not exist.
E, [2018-03-01T09:03:46.782672 #11255] ERROR -- Kitchen: ----------------------
E, [2018-03-01T09:03:46.782684 #11255] ERROR -- Kitchen: ------Backtrace-------
E, [2018-03-01T09:03:46.782709 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2018-03-01T09:03:46.782720 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:154:in `data'
E, [2018-03-01T09:03:46.782732 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:133:in `suites'
E, [2018-03-01T09:03:46.782743 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2018-03-01T09:03:46.782754 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2018-03-01T09:03:46.782765 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/config.rb:119:in `instances'
E, [2018-03-01T09:03:46.782776 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2018-03-01T09:03:46.782786 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2018-03-01T09:03:46.782811 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/test.rb:43:in `block in call'
E, [2018-03-01T09:03:46.782832 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2018-03-01T09:03:46.782845 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/command/test.rb:41:in `call'
E, [2018-03-01T09:03:46.782855 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:56:in `perform'
E, [2018-03-01T09:03:46.782866 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:233:in `test'
E, [2018-03-01T09:03:46.782876 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2018-03-01T09:03:46.782916 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-03-01T09:03:46.782930 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2018-03-01T09:03:46.782942 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2018-03-01T09:03:46.782954 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2018-03-01T09:03:46.782965 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-03-01T09:03:46.782977 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2018-03-01T09:03:46.782993 #11255] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.13.2/bin/kitchen:13:in `<top (required)>'
E, [2018-03-01T09:03:46.783005 #11255] ERROR -- Kitchen: /bin/kitchen:21:in `load'
E, [2018-03-01T09:03:46.783016 #11255] ERROR -- Kitchen: /bin/kitchen:21:in `<main>'
E, [2018-03-01T09:03:46.783034 #11255] ERROR -- Kitchen: ----End Backtrace-----
